,id,artist,first_artist,song,weeks_on_chart,peak_rank,lyrics,length,word_count,language,language_score
92,9770,Ariana Grande,Ariana Grande,West Side,1,71,"I don't wanna think too much I just wanna feel You know that it ain't no rush Let me keep it real Just let me be in your life like that In your life like that I'll bring the light right back I'll bring the life right back  I'm gonna make you want more (More) I'm gonna be your new favorite Tell 'em you closing the door I am the only for sure Oh, babe  Hold up, there shouldn't be no hold up There's more love if you follow emotions Show up, now if you're down to roll up Meet me on the west side for me Hold up, there shouldn't be no hold up There's more love if you follow emotions Show up, now if you're down to roll up Meet me  I don't want it if it ain't your touch It's better every time we chill You ain't gotta bring no stuff We got all we need right here Just let me be in your life like that Be your wife like that I'll bring the light right back I'll bring the life right back  I'm gonna make you want more (More) I'm gonna be your new favorite Tell 'em you closing the door I am the only for sure, baby Oh, babe, yeah  Hold up, there shouldn't be no hold up (Hold up) There's more love if you follow emotions (Emotions) Show up, now if you're down to roll up (Roll up) Meet me on the west side for me Hold up, there shouldn't be no hold up There's more love if you follow emotions Show up, now if you're down to roll up Meet me on the west side for me  Mmm",1368,286,en,0.9999978491147354
104,7692,Ashley McBryde,Ashley McBryde,One Night Standards,15,76,"I ain't gonna stay for the weekend I ain't gonna jump off the deep end I ain't gonna ask where your ring is Thing is, we all got secrets  You don't wanna hear about my last break up I don't wanna worry 'bout space you take up I don't even care if you're here when I wake up  It's just a room key You ain't gotta lie to me Can't you just use me like I'm using you? How it goes is, bar closes There's no king bed covered in roses Just a room without a view I don't want a number you ain't gonna answer Let's just stick to the one night standards  Well, I ain't Cinderella, but who is? Call me what you want if the shoe fits I ain't gonna say I never do this 'Cause truth is, lonely makes a heart ruthless  Ain't nobody gonna hurt nobody Ain't nothing wrong with needing somebody You can leave all that Down in the lobby  It's just a room key You ain't gotta lie to me Can't you just use me like I'm using you? How it goes is, bar closes There's no king bed covered in roses Just a room without a view No, I don't want a number you ain't gonna answer Let's just stick to the one night standards  How it goes is, bar closes There's no king bed covered in roses Just a room without a view No, I don't give a damn about the morning after Bottles on the floor don't even matter I don't want a number you ain't gonna answer Let's just stick to the one night standards The one night standards The one night standards",1407,284,en,0.9999970330384546
105,8572,Ava Max,Ava Max,Kings & Queens,20,13,"If all of the kings had their queens on the throne We would pop champagne and raise a toast To all of the queens who are fighting alone Baby, you're not dancing on your own  Can't live without me, you wanna, but you can't, nah-nah-nah Think it's funny, but honey, can't run this show on your own I can feel my body shake, there's only so much I can take I'll show you how a real queen behaves (Oh)  No damsel in distress, don't need to save me Once I start breathing fire, you can't tame me And you might think I'm weak without a sword But if I had one, it'd be bigger than yours  If all of the kings had their queens on the throne We would pop champagne and raise a toast To all of the queens who are fighting alone Baby, you're not dancing on your own  Disobey me, then baby, it's off with your head Gonna change it and make it a world you won't forget (Oh)  No damsel in distress, don't need to save me Once I start breathing fire, you can't tame me And you might think I'm weak without a sword But I'm stronger than I ever was before  If all of the kings had their queens on the throne We would pop champagne and raise a toast To all of the queens who are fighting alone Baby, you're not dancing on your own  In chess, a king can move one space at a time But queens are free to go wherever they like You get too close, you'll get a royalty high So breathe it in to feel alive  If all of the kings had their queens on the throne We would pop champagne and raise a toast To all of the queens who are fighting alone Baby, you're not dancing on your own  Oh-oh-oh-oh-oh-oh, oh-oh Oh-oh-oh-oh-oh-oh, oh-oh",1604,317,en,0.9999969754033546
108,2482,Avicii,Avicii,Heaven,1,83,"Step out into the dawn You pray 'til, you pray 'til the lights come on And then you feel like you've just been born Yeah, you come to raise me up When I'm beaten and broken up And now I'm back in the arms I love  And I think I just died I think I just died Yeah, I think I just died I think I just died  And went to Heaven And went to Heaven, whoa  Beaten and bathed in blood I'm hit by, I'm hit by your love and drug And now you've c-come to raise me up  And I think I just died I think I just died Yeah, I think I just died  And went to Heaven And went to Heaven Whoa, and went to Heaven  Ooh, oh  It's such a night, such a beautiful night It's such a view, such a beautiful sight I think I just, oh, I think I just died, oh  And went to Heaven And went to Heaven Oh, yeah, yeah  We're gonna be birds and fly We're gonna set the world alight We're gonna lose ourselves tonight, whoa We're gonna be birds and fly We're gonna set the world alight We're gonna lose ourselves tonight, oh In Heaven (Heaven)",1004,209,en,0.999997816755585
109,1667,Avicii Featuring Aloe Blacc,Avicii,SOS,4,68,"Can you hear me? S.O.S. Help me put my mind to rest Two times clean again, I'm actin' low A pound of weed and a bag of blow  I can feel your love pullin' me up from the underground, and I don't need my drugs, we could be more than just part-time lovers I can feel your touch pickin' me up from the underground, and I don't need my drugs, we could be more than just part-time lovers  We could be more than just part-time lovers We could be more than just part-time lovers  I get robbed of all my sleep As my thoughts begin to bleed I'd let go, but I don't know how Yeah, I don't know how, but I need you now  I can feel your love pullin' me up from the underground, and I don't need my drugs, we could be more than just part-time lovers I can feel your touch pickin' me up from the underground, and I don't need my drugs, we could be more than just part-time lovers I can feel your touch pickin' me up from the underground, and I don't need my drugs, we could be more than just part-time lovers  (We could be) We could be more than just part-time lovers (Part-time lovers, yeah) (More than, more than lovers) We could be more than just part-time lovers  Can you hear me? S.O.S. Help me put my mind to rest",1204,239,en,0.9999949660912693
117,10012,BTS,BTS,Blue & Grey,1,13,"Where is my angel? 하루의 끝을 드리운 Someone come and save me, please 지친 하루의 한숨뿐 사람들은 다 행복한가 봐 Can you look at me? 'Cause I am blue and grey 거울에 비친 눈물의 의미는 웃음에 감춰진 나의 색깔 blue and grey  어디서부터 잘못됐는지 잘 모르겠어 나 어려서부터 머릿속엔 파란색 물음표 어쩜 그래서 치열하게 살았는지 모르지 But 뒤를 돌아보니 여기 우두커니 서니 나를 집어삼켜버리는 저 서슬 퍼런 그림자 여전히도 파란색 물음표는 과연 불안인지 우울인지 어쩜 정말 후회의 동물인지 아니면은 외로움이 낳은 나일지 여전히 모르겠어 서슬 퍼런 블루 잠식되지 않길 바래 찾을 거야 출구  I just wanna be happier 차가운 날 녹여줘 수없이 내민 나의 손 색깔 없는 메아리 Oh this ground feels so heavier I am singing by myself I just wanna be happier 이것도 큰 욕심일까  추운 겨울 거리를 걸을 때 느낀 빨라진 심장의 호흡 소릴 지금도 느끼곤 해 괜찮다고 하지 마 괜찮지 않으니까 제발 혼자 두지 말아 줘 너무 아파  늘 걷는 길과 늘 받는 빛 But 오늘은 왠지 낯선 scene 무뎌진 걸까 무너진 걸까 근데 무겁긴 하다 이 쇳덩인 다가오는 회색 코뿔소 초점 없이 난 덩그러니 서있어 나답지 않아 이 순간 그냥 무섭지가 않아 난 확신이란 신 따위 안 믿어 색채 같은 말은 간지러워 넓은 회색지대가 편해 여기 수억 가지 표정의 grey 비가 오면 내 세상 이 도시 위로 춤춘다 맑은 날엔 안개를 젖은 날엔 함께 늘 여기 모든 먼지들 위해 축배를  I just wanna be happier 내 손의 온길 느껴줘 따뜻하지가 않아서 네가 더욱 필요해 Oh this ground feels so heavier I am singing by myself 먼 훗날 내가 웃게 되면 말할게 그랬었다고  허공에 떠도는 말을 몰래 주워 담고 나니 이제 새벽잠이 드네 good night",1032,269,ko,0.9999996047674719
120,6186,BTS,BTS,Filter,1,87,"너의 따분한 그 표정 지루한 발끝 Please, look at me now 핸드폰은 내려놔 고개 돌릴 생각도 마 Let me know your type 날 골라 쓰면 돼 yeah  Oh, 너의 눈을 나의 손으로 포개 Oh, 다가가 비밀에 널 데려갈게 완전히 새로운 세상에 Yeah, 네 감은 눈을 떠봐 이제 go  팔레트 속 색을 섞어 pick your filter 어떤 나를 원해? 너의 세상을 변화시킬 I’m your filter 네 맘에 씌워줘  (Okay) 어때 조금 느낌이 와? 아직 모자라? (Yes) Girl, you have your chance I can be your Genie How ‘bout Aladdin? 뭐든 돼 줄게 날 골라 쓰면 돼 yeah  Oh, 네 꿈처럼 널 감싸 안을 거야 Oh, 은밀한 spec이야 난 너를 위해 매일 새로울 거야 늘 똑같은 건 재미없잖아  팔레트 속 색을 섞어 pick your filter 어떤 나를 원해? 너의 세상을 변화시킬 I’m your filter 네 맘에 씌워줘  불현듯 아이로 변한 날 봐 볼수록 귀여워 미치도록 (미치도록) 취향도 기준도 뛰어넘어 넌 오직 나만을 원하게 돼 Yeah, 날 만든 사람 바로 너니까  난 여태 네가 본 적 없는 brand new filter 내게 널 맡겨봐 더 짜릿한 걸 볼 수 있게 pick your filter 나만을 담아봐  Na-na-na-na-na-na-na-na-na Pick your filter 나만을 담아봐 Na-na-na-na-na-na-na-na-na I’m your filter 내게 널 맡겨봐  새로운 우리가 될 거야 Ayy, 날 네 맘에 씌워줘",823,203,ko,0.42857149862784233
122,10000,BTS,BTS,Life Goes On,3,1,"어느 날 세상이 멈췄어 아무런 예고도 하나 없이 봄은 기다림을 몰라서 눈치 없이 와버렸어 발자국이 지워진 거리 여기 넘어져있는 나 혼자 가네 시간이 미안해 말도 없이, yeah  오늘도 비가 내릴 것 같아 흠뻑 젖어버렸네 아직도 멈추질 않아 저 먹구름보다 빨리 달려가 그럼 될 줄 알았는데 나 겨우 사람인가 봐 몹시 아프네 세상이란 놈이 준 감기 덕분에 눌러보는 먼지 쌓인 되감기 넘어진 채 청하는 엇박자의 춤 겨울이 오면 내쉬자 더 뜨거운 숨  끝이 보이지 않아 출구가 있긴 할까? 발이 떼지질 않아 않아, oh 잠시 두 눈을 감아 여기 내 손을 잡아 저 미래로 달아나자  Like an echo in the forest 하루가 돌아오겠지 아무 일도 없단 듯이 Yeah, life goes on Like an arrow in the blue sky 또 하루 더 날아가지 On my pillow, on my table Yeah, life goes on Like this again  이 음악을 빌려 너에게 나 전할게 (Ayy) 사람들은 말해 세상이 다 변했대 (No) Mm-mm-mm-mm 다행히도 우리 사이는 아직 여태 안 변했네  늘 하던 시작과 끝 ""안녕"" 이란 말로 오늘과 내일을 또 함께 이어보자고 (Ooh, ooh, ooh, oh-woah) 멈춰있지만 어둠에 숨지 마 빛은 또 떠오르니깐  끝이 보이지 않아 출구가 있긴 할까? 발이 떼지질 않아 않아 oh 잠시 두 눈을 감아 (감아) 여기 내 손을 잡아 (잡아) 저 미래로 달아나자 (Oh, oh, oh)  Like an echo in the forest 하루가 돌아오겠지 아무 일도 없단 듯이 Yeah, life goes on (Oh, woah) Like an arrow in the blue sky 또 하루 더 날아가지 (날아가지) On my pillow, on my table Yeah, life goes on Like this again  I remember I, yeah-yeah-yeah-yeah I remember Ah-ah, ah-ah I remember I, yeah-yeah-yeah-yeah I remember Ah-ah, ah-ah",1071,263,ko,0.5714275603376604
125,10021,BTS,BTS,Stay,1,22,"꿈이었을까 널 본 것 같아 눈뜨면 다시 아무도 없는 방  가만히 난 주문을 걸어 그 어느 때보다 크게 뛰는 heart 이 순간 우리 언제라도 어디 있대도 Together, wherever, yeah Wherever, yeah  반복도 복인 것 같아 나도 모르겠어 나의 속을 (Uh huh) 널 볼 순 없을까 가만히 모아보네 두 손을 (Uh huh) 변하지 않는 내일 미친놈처럼 I keep sayin' Wherever you are, I know you always stay  저 구름이 지나간 자리에 Stay 마른 입술로 너에게 말해 Stay, stay, stay, stay (Always)  Yeah I know you always stay Yeah I know you always stay Yeah I know you always stay  찬란한 오늘의 그 모두를 위해, hey yeah Oh, every night and day Yeah I know you always stay  바로 지금 난 널 생각해 니가 어디에 있던지 그게 뭐가 중요해 We connect to 7G It ain't the end of the world The present, it shine like a pearl 이건 몇 파동에 불과 하지만 내가 널 바꿔놓을 거야  가만히 난 주문을 걸어 그 어느 때보다 밝게 보이는 star 이 순간 우린 언제라도 어디 있대도 Wherever you are, I know you always stay  저 바람이 지나간 바다에 Stay 굳은 입술로 네게 말을 해 Stay, stay, stay, stay (Always)  Yeah I know you always stay Yeah I know you always stay Yeah I know you always stay  찬란한 오늘의 그 모두를 위해, hey yeah Oh, every night and day Yeah I know you always stay  찬바람이 불어와 손 내밀어 네 숨결을 느껴 눈 감은 어느새 우린 함께인 걸",1014,242,en,0.8571412286969811
126,10069,BTS,BTS,Telepathy,1,70,"매번 같은 하루들 중에 (들 중에) 너를 만날 때 가장 난 행복해 (행복해) 매번 다른 일상들 속에 (들 속에) 너란 사람은 내게 가장 특별해 (특별해)  별일은 없지 아픈 곳은 없겠지 난 요즘에 글쎄 붕 떠 버린 것 같아 많은 시간 덕에 이런 노랠 쓰네 이건 너를 위한 노래 Yeah 노래 yeah 노래  자 떠나자 푸른 바다로 우리가 함께 뛰어놀던 저 푸른 바다로 괜한 걱정들은 잠시 내려놓은 채로 잠시 우리끼리 즐겨보자 함께 추억하는 푸른 바다 한가운데 작은 섬  비록 지금은 멀어졌어도 우리 마음만은 똑같잖아 내 곁에 네가 없어도 yeah 네 곁에 내가 없어도 yeah 우린 함께인 걸 다 알잖아  매번 같은 하루들 중에 (들 중에) 너를 만날 때 가장 난 행복해 (행복해) 매번 다른 일상들 속에 (들 속에) 너란 사람은 내게 가장 특별해 (특별해)  아침 들풀처럼 일어나 거울처럼 난 너를 확인 눈꼽 대신 너만 묻었다 잔뜩 또 무겁다 멍 많은 무르팍이 거릴 거닐며 생각해 이 별이 허락해 주는 우리의 거리 Oh, can I be your Bibilly Hills like you did the same to me (Baby)?  너무 빠른 건 조금 위험해 너무 느린 건 조금 지루해 너무 빠르지도 않게 또는 느리지도 않게 우리의 속도에 맞춰 가보자고 이건 꽤나 긴 즐거운 롤러코스터  비록 지금은 멀어졌어도 우리 마음만은 똑같잖아 내 곁에 네가 없어도 yeah 네 곁에 내가 없어도 yeah 우린 함께인 걸 다 알잖아  매번 같은 하루들 중에 (들 중에) 너를 만날 때 가장 난 행복해 (행복해) 매번 다른 일상들 속에 (들 속에) 너란 사람은 내게 가장 특별해 (특별해)",830,235,ko,0.999997633215782
131,10178,Bad Bunny,Bad Bunny,El Mundo Es Mio,1,79,"(Uh-uh) Ey, ey  ¿Quién dijo que no? (¿Quién dijo que no?) Ey, que no puedo Yo hago lo que me dé la gana ¿Quién dijo que no? (¿Quién dijo que no?) Ey, que no puedo Yo hago lo que me dé la gana (Ey, ey, ey, ey)  El mundo es mío El mundo es tuyo (Ju) El mundo es mío El mundo es tuyo (Ey)  Ey, ey, ey, ey, ey Te lo dije hace mucho tiempo Que como yo no hay dos (Como yo no hay dos) Ey, ey, ey Muchas prenda' en diamante' y no brillan como yo (No brillan como yo) Ey, ey, ey Todo tiene su final, me lo dijo Héctor Lavoe (Eh-eh-eh-eh) Ey, ey, ey Pero yo seré por siempre, ya me lo dijo Dios Y yo no vo'a fallar (No) Todo el que habló mal de mí se tuvo que callar (Shh) Ninguno tiene el torque pa' guayar Si ves mi cuenta te puede' desmayar (Porque) Ey, yo pasé de 0 a 7.25, despué' un millón (Wuh) Nadie me saca del sillón (No) Yo siempre picheo, denme el Cy Young ¿Dónde están que no los veo? No los veo Los hater' me ven y me piden foto (Ju) Por encima 'e todo' ustede', mira cómo floto (Ey) Ya no andamo' con Menudo, súbete a mi moto (Brum) Si se tira Mayweather también lo derroto (Ju, ju)  ¿Quién dijo que no? Ey, que no puedo Yo hago lo que me dé la gana ¿Quién dijo que no? Ey, que no puedo Yo hago lo que me dé la gana (Ey, ey, ey, ey)  El mundo es mío El mundo es tuyo El mundo es mío (Mío) El mundo es tuyo",1311,284,es,0.999994166546679
132,10171,Bad Bunny,Bad Bunny,Haciendo Que Me Amas,1,72,"Ya no confío en tu mirada Y tus beso' no saben igual, eh Queda algo, pero casi nada Y el amor no se trata de intentar, eh  Y ya no se siente igual cuando hacemos el amor Tratar de olvidar, ese ha sido nuestro error Porque hay heridas que no sanan De la noche a la mañana, eh, eh-eh-eh-eh  Y si ya se acabó, oh-oh-oh-oh-oh No lo ocultes, dímelo, oh-oh-oh-oh-oh No lo hagas peor, o-or, o-or Haciendo que me amas, haciendo que me amas Y si ya se acabó, oh-oh-oh-oh-oh No lo ocultеs, dímelo, oh-oh-oh-oh-oh No lo hagas peor, o-or, o-or Haciendo quе me amas, haciendo que me amas  Ey, ey Recuerdo el día en que te conocí Tu sonrisa despué' de decir que sí Me besaste y en el aire me mecí Tenía poco, pero todo te ofrecí Y está cabrón, han pasado tantos año' Desde que te conozco y de nuevo somo' dos extraño' Tus primero' beso' los extraño Los polvo' en la cocina y en el baño Las noche' de cine y cena para dos Tus ""te amo"" se oyen raro', te ha cambia'o hasta la voz Me siento hasta pendejo creyéndome to' lo que dice Amós Pero es verda', es tiempo de decir adiós Ey, ey, no sé quién tuvo la culpa, pero ya ni viene al caso Devuélveme mi corazón aunque sea en pedazo' Ey, que yo los pego paso a paso Pero ya suéltame en banda, que me atraso Por el bien tuyo, por el bien mío (Oh) Tú sabe' que esto del amor termina en lío' (Oh) Si te veo con otro te sonrío (Oh) ¿Pa' qué odiarno' despué' de lo que hemo' vivío'?  (Oh) Uno nace solo y solo se muere Se comparte, se disfruta, se ama y se quiere Pero nunca te olvide' de quién tú ere', nah, nah Ni por hombre' ni mujere', eh",1567,314,es,0.9999957038654926
