,line,corona
347,"phone sex, phone sex, phone sex",False
348,oh it's goin’ down on,False
349,"tell me how i ratted, came home to a big bag",False
350,"don't you worry 'bout it, ay (oh no)",False
351,"i put it out, they come in",False
352,zoom is the new club,False
353,and i never thought you'd call,False
354,(i say),False
355,let it burst,False
356,now we are one,False
357,"motherland, motherland drip on me, hey, hey, hey",False
358,do what the doctors recommend,True
359,pum-pumbaa are you nuts?,False
360,i ain't even think i'd see eighteen and i ain't lyin',False
361,"oh, that sunshine 'bout to come my way",False
362,bring down my level of concern,False
363,'cause lately it's been hard,False
364,i hope you don't take that the wrong way,False
365,why would a disease come around when you get rich?,True
366,but you walked by like you never heard,False
367,"yeah, she like how i throw them racks, yeah, yeah, yeah, yeah, yeah",False
368,and all the bad news hits too close to home,False
369,"whenever mama say so (hey), mama say (hey, hey)",False
370,so dry,False
371,"when i came home, young nigga, i was fourteen",False
372,and for me west 10's elementary,False
373,and call this isolation a date,True
374,i believe,False
375,i think i need to see a psychiatrist (ooh),False
376,let your love be known,False
377,social distancing,True
378,even through the storm and the rain,False
379,i just wanna see my friends,False
380,don’t want it,False
381,i got jesus on my mind,False
382,"hold up, hold up, hold up",False
383,"havin' money on this side is not the conversation (yeah, yeah)",False
384,"solitary diamonds, solitary jewels",False
385,with a wad of money 'cause i got a lot of it,False
386,a truth dressed up in lies,False
387,then we all got locked down,True
388,ody-ody-ody-ody,False
389,i believe a god who renews us,False
390,"screaming every word of ""both sides now"" (i don't wanna)",False
391,"bottom line, no matter what, face everything and rise",False
392,even your man know nickis do it better,False
393,"tell him, ""life ain't fair, we all been there""",False
394,"i be tweakin' every day, i got some screws missin'",False
395,and every day we'll sing a song,False
396,and the airports and train stations are full of desperate people,False
397,body-ody-ody-ody-ody-ody-ody-ody,False
398,"even though i'm gettin' big, i bought a mac through my zelle",False
399,giving hugs and shaking hands,False
400,"we all change, you say i change alone",False
401,hopefully one day your life see a turn,False
402,"no, we're not afraid to do whatever it takes",False
403,ain't havin' any fun (woh-oh-oh-oh),False
404,"the sun's gonna shine, ooh-ooh, it's true",False
405,the sound of cymbals crashin',False
406,we understand,False
407,"i'm a savage, but i fuck her to a slow song (21)",False
408,no you can’t come to my house,False
409,i been waking up with a new fear (new fear),False
410,"flow going viral, you best stay strapped",False
411,slip and slide like a waterfall,False
412,"take a trip to cabo (yeah), i might go to maui (maui)",False
413,"nigga, who did that? nigga, who did what?",False
414,i'm mindin' my business and all of it's black,False
415,"got nowhere to go, yeah",True
416,you can let me know if it's a problem but it ain't,False
417,"miss the road, i miss my band",False
418,yes there was no people here,False
419,"seem like when you get money, rape come easy for a bitch",False
420,stripped down to a toe ring and here we go with the gloating,False
421,stop a pandemic and the globe,True
422,it's the first in our lifetime,False
423,"i'm goin' back, back, back, back",False
424,wonder if he ever goin' pop? (go),False
425,"i was grammy hostin’, and now i’m home schoolin’,",True
426,"they always mad, yeah, they always mad, yeah",False
427,"mask, gloves, soap, scrubs",False
428,i feel a little more free,False
429,i wanna take care you and your friends (ooh),False
430,"woo, wearin' all attire white to the funeral",False
431,pay some extra on the tab,False
432,"yeah, pure ice (ice), ice (ice), buss down",False
433,i need you now,False
434,"turn your phone off, take your clothes off",False
435,see my mum and father die,False
436,and i'll be your friend,False
437,"grab that broom, get your shout, get your bleach",False
438,"let your glory rise, let your son shine",False
439,just get back to the basics,False
440,better days (better days),False
441,where my roots ain't watered down,False
442,when you sing there is no distance,True
443,"this world is so ice, this world is so cold (so cold)",False
444,"thе blacker the berry, more they wan' see it rot (rot)",False
445,pero prefiero escucharte si no puedo tocarte,False
446,"and your ex is a b-word, bitch",False
447,"shootout with the police, i ain't goin' to jail",False
448,"this the reason i'm alive, ain't it?",False
449,"i believe if he parted seas, this disease gotta bow to the ruler!",True
450,"every time we do it, tend to hit the news",False
451,make a nigga go adiós,False
452,"i'm quarantine clean, but got a slime disease",True
453,will be left behind,False
454,searching for an answer,False
455,might as well quarantine together,True
456,'cause i'm so fuckin' dope (dope) and you're a fiend,False
457,"i been to myself, i been just stackin' up my digits",False
458,made a picket sign off your picket fence (ah),False
459,"i know that i'm getting loaded, the pen exploded",False
460,it's never over,False
461,hand sanitizing,True
462,and when your hope is gone he will bring you through,False
463,you give us your best,False
464,that's big bucks and i got a full money clip and i'm loaded,False
465,got the past million miles away,False
466,so lift your hands up,False
467,probably over-wash my hands,True
468,'cause people have a way of getting crazy,False
469,"all of my brothers get loot, i don't got ride with pistols (yeah)",False
470,"drippin' in designer, yeah, no timmy turner (nah)",False
471,"we will conquer, time after time",False
472,let me hear you say (i believe that we will win),False
473,you may lose your faith in everything,False
474,tryna balance imperfections in my life and do some good one,False
475,the good lord knows better than me,False
476,tell 'em get up out my face now 'fore i grrt,False
477,'cause i used to date sza back in '08,False
478,when it's finally all over,False
479,"dollar, dollar bill, come get her",False
480,when our city was still a secret,False
481,"it's times like these, time and time again (again)",False
482,let's enjoy this confination,False
483,it will fade away,False
484,the product of old 'ye chopping up the sample flow,False
485,never done this before but we’re all in.,False
486,dios sabe que son buenas nuestras intenciones,False
487,"first time gettin' sentenced, i was thirteen",False
488,"every year, you drop the ball like times square",False
489,they gon' have to send they best fighter for the champ,False
490,back to the basics,False
491,"speak the glory (speak the glory), feel the love (feel the love)",False
492,that’s who you are,False
493,say it with me (i believe),False
494,but there'll be crowds and there'll be shows,False
495,"fold clothes for me, clothes for me (clothes)",False
496,i could build a house with all the brick i got (yeah),False
497,"coronavirus, coronavir- *cough, cough* pull up",True
498,empires crumble while we sleep,False
499,"bitch, rule number one is don't repeat that shit (don't repeat that shit)",False
500,i got a little less in the bank,False
501,"when things get tough (yeah), that's when we show up (yeah)",False
502,wherever you are tonight,False
503,"every single goddamn day, a nigga think he next to leak it (next to who?)",False
504,keeping my distance,True
505,"ayy, turn your phone off (straight up), take your clothes off (straight up)",False
506,"some days i'll laugh, one day i'll cry",False
507,they noticed that a nigga music versatile,False
508,"every day is like another storm, yeah",False
509,"never runnin' out of either one of 'em, i gotta get it 'cause",False
510,did the hammer come down?,False
511,but i can ring,False
512,"just give him worship, yeah",False
513,we are warriors (oh),False
514,"'cause we are warriors, we'll fight for our lives",False
515,la forma en que me hablaste me dijó que te encendiste,False
516,"ah-hah, ah-hah, ah-hah",False
517,'cause your man is just a b-word,False
518,saxophones were blarin',False
519,i believe i believe we will,False
520,"ooh, ooh-ooh, ooh-ooh, ooh",False
521,"went back two more years, oh well (oh)",False
522,stay away from me,True
523,"haha, bitch, i'm laughin' 'cause you big mad",False
524,"diamonds dancin', elliot (yeah), yeah, pointers (pointers)",False
525,due to social distancing,True
526,ah,False
527,"in the mean time, people, there can be no doubt",False
528,when you are buying groceries,False
529,"coronavirus, shit is real (imarkkeyz, this to you, boy)",True
530,you the type of nigga that i never wanna be like,False
531,stay inside and lock the door,True
532,shelves are all bare,False
533,"i'm a sav', but i fuck her to a slow song",False
534,"we sippin' on that ace, itty-bitty waist, pretty face",False
535,but i ring,False
536,i know you're feelin’ kinda nervous,False
537,"yeah, i'm off probation, so it's gas i blow",False
538,"lay down, face down in the gravel",False
539,"ain't nothin' you say could ever trump (nah), mic, pencil get killed (yeah)",False
540,and they boarded up the schools,False
541,"now squirt for me, squirt for me (squirt)",False
542,"and we won't give up, we will survive",False
543,"hit her with my glizzy, boy, i keep that",False
544,si no podemos vernos hacemos,False
545,and our relations,False
546,i ain't had much else going on,False
547,and my drip was a drop,False
548,"i don't complain about life, i adapt",False
549,get that pine-sol and that ajax,False
550,i had to go underground,False
551,"watch, mhm, glock, mhm, cocked, mhm, got it, mhm",False
552,i believe i believe we can,False
553,"we are the champions, my friends",False
554,we gotta make it through,False
555,shut up all alone,False
556,creo oír que te reíste,False
557,coronavirus,True
558,what if we acclimate,False
559,weird time of life,False
560,we can make it if we can see,False
561,i found the writin' on the wall and i finally see,False
562,"benz truck in the back, yeah, yeah, yeah, yeah, yeah",False
563,when you need a hand (when you need a hand),False
564,all i got is one thing on my mind,False
565,"hold my hands, we gon' pray together",False
566,yes the world is in a slumber,False
567,"it's not how you fall, it's how you get back up",False
568,you can't take us out,False
569,ody-ody-ody-ody-ody-ody-ody (yeah),False
570,crack a big smile (ding),False
571,tell her you love her every day,False
572,when they think they'll be dead in a month,False
573,"still a hundred like the number on my dash, dash, dash",False
574,out of that old porch swing,False
575,but we're all in this together,False
576,"got me mad, got me mad",False
577,troubles come and go,False
578,"just like you wanna stick a dick up in me, i want some motherfuckin' money",False
579,"you just call on me brother, when you need a hand",False
580,"sweep for me, sweep for me (sweep)",False
581,on a tous les mêmes problèmes pour qu’on se comprenne,False
582,ooh,False
583,"sleep for me, sleep for me (sleep)",False
584,and some rubber gloves,True
585,"so bring it on, bring it on, bring it on, bring it on now",False
586,said her last man was always playin' drake songs,False
587,how could it change? honestly don't think it's ever gon' change,False
588,may we never ever shed another tear for today,False
589,wonderin' would you be my little quarantine?,True
590,"i got marble tile (yeah), and givenchy towels (uh)",False
591,you give us hope even,False
592,since i asked you to go steady,False
593,like no one else does,False
594,"then i shot her in the liver, delivered her to the bottom of the river (dope)",False
595,the sun's gonna shine,False
596,but make no mistake for heaven's sake,False
597,they ain't never gonna get rid of the fight in the dog (fight in the dog),False
598,"yeah, the nigga had a problem 'til i showed up",False
599,ody-ody-ody-ody-ody-ody-ody (baow),False
600,and some rest easy on the mountain,False
601,"maybe enough, time could go by",False
602,"so let me finish strong, girl",False
603,"i don't wanna give, i don't wanna give too much",False
604,you a type of bitch that will never get a reply,False
605,"rеd wings jersey b.i.g., look like pac",False
606,we all have sorrow,False
607,change what´s going on,False
608,trust when i say that,False
609,say it with me (i),False
610,"we done loaded up in this war, now i gotta hide my niece",False
611,and if he does come back,False
612,i just wanna feel your love,False
613,whatcha gonna let them see?,False
614,i mean what do you get,False
615,"money ran low, right? felons can't vote, right?",False
616,all this down on my luck,False
617,when darkness is all i see,False
618,llámame,False
619,"i been thuggin' since a youngin, brought that work to school",False
620,grab a long neck bottle or a big old pint,False
621,famine and diseases,True
622,i’m gonna be with you 24 hours a day,False
623,"when you’re done, you’re done",False
624,random people trying out,False
625,and i hope it's enough,False
626,"watchin' bands make a play, i seen him score in the mail",False
627,"away from me, away from me (away)",False
628,and it's not even halloween,False
629,"ay, don't worry 'bout it (oh no)",False
630,don’t wanna go out…no…,False
631,"ooh, ooh, ooh",False
632,you know what spreads faster than any virus?,True
633,why they lie? i do love my guys,False
634,"turn the lights down (21), lay the pipe down (21)",False
635,a screen replacing love,False
636,"it's all the little things, the bells that ring",False
637,"i mean my penmanship at times tends to get ill, violence but with skill",False
638,for some semblance of normalcy,False
639,"put us any-damn-where, we gon' make it look cute",False
640,atop the empire state buildin',False
641,mom fed me valium like air (mmm),False
642,be kind to one another,False
643,ahora somos pecadorеs,False
644,i feel anxious all the time,False
645,"i can really sit back, ain't gotta pass no dough",False
646,quiero que me cuentes lo que hiciste,False
647,"world is ice cold (ice cold), this world is ice cold (ice cold)",False
648,you're gonna be alright now,False
649,that’s all,False
650,you keep holding that line and you don't give an inch,False
651,don’t touch your face,False
652,"got stripes like a tiger, so you might get mauled, a mic in the palms",False
653,and there will be light after dark,False
654,"got seven drops in four spots, i get to pick where i live",False
655,we can make a difference if we stand,False
656,i can’t watch the television,False
657,i'm a threat leaving out the driveway (swerve-swerve-swerve-swerve),False
658,so many are constantly dying,True
659,and the darkness is drowning the light,False
660,"(jah, ayy, you know that boy)",False
661,the only plague our land today,False
662,"but from this day on, my friends and folk",False
663,you give it all,False
664,"i don't wanna feel, i don't wanna feel at all",False
665,you can't stop us now,False
666,"i'm the one that drives away, then follows you back home",False
667,"nah, stephen [colbert], you can’t come to my house!",False
668,we could touch our friends,False
669,"to having fun, fun, fun",False
670,and it goes from martian to human (from martian to human; yeah),False
671,"things are starting to get heavy, mm",False
672,and in this heart of mine,False
673,i'm asking you to stay,False
674,bitches spend a lifetime tryna get this hot (tryna get this hot),False
675,couples’ hittin’ now havin scorpios (there’s a lotta that!),False
676,money long and my soul unmatched (unmatched),False
677,"so lets get back to having fun, fun, fun",False
678,and take the whole damn family out,False
679,they see the way he fuckin' up the charts (hmm),False
680,time to floss 'cause i got money right behind my teeth,False
681,please swallow your pride,False
682,"turn the lights down (straight up), lay the pipe down (straight up)",False
683,llama,False
684,there are many questions,False
685,and fighters’ on the line that give us hope,False
686,and ride out the lightning and thunder,False
687,help save the world from covid,True
688,yes i made you smile,False
689,yes i don't know you,False
690,violence that is needless,False
691,"no one, no one can take the love from my heart",False
692,talkin' 'bout snitches when it's snitches in your camp,False
693,and time will tell you it does,False
694,"even when it's harder, like the armor, you will see us shine (see us shine)",False
695,"'cause oh, i know that there'll be better days",False
696,older loved ones stay inside,True
697,"need food, this blows",False
698,you too?,False
699,huh? i am unstoppable,False
700,preachers were all preachin',False
701,if i have things that you need to borrow,False
702,i believe that we will win (say it),False
703,"baby, keep your distance, please",True
704,"oh, you can't shoot us down",False
705,"and for now, that's enough",False
706,has drowned out past the breakers,False
707,seem like that's the only way niggas dodgin' the pen',False
708,and say fuck the friends who leave when you are sinking,False
709,"baby girl a keeper, panties and a t-shirt",False
710,(makers),False
711,they turned off the broadway lights,False
712,"nigga, please, what the fuck is you talkin' 'bout?",False
713,venus in sweatpants,False
714,what was life like? i can't remember,False
715,just how long this thing goes,False
716,i don’t want societies germs,True
717,just starin' at my phone,False
718,"twinks, jocks, bears, cubs",False
719,i know,False
720,nuestra mecha siempre es corta,False
721,i was goin' through that pain alone,False
722,"i feel your pain, you just wait your turn, no givin' up",False
723,"but i remember when my grandmama told me once - she said, ""this too shall pass""",False
724,"there's no politician, no sky too dark",False
725,its a hell of a thing,False
726,you just call on me brother (call on me brother),False
727,"coronavirus diamonds, you can catch the flu",True
728,"this shit lookin' like a horror scene, like me metaphorically (damn)",False
729,when you can’t do what you do,False
730,"see me in that dress and he feel like he almost tasted that (ah, ah, ah)",False
731,"woh-oh-oh-oh, woh-oh-oh-oh",False
732,ahora somos pecadores,False
733,this'll be behind us,False
734,"if a battle line's ever drawn, but if i get involved",False
735,sad to say i know like just two niggas with diplomas,False
736,gotta watch my back,False
737,nobody even thought about,False
738,"honey, come around my way, around my hive (my)",False
739,"holy river (holy river), holy tongue (holy tongue)",False
740,we gon' be alright (wooh),False
741,"oh, let your love be known",False
742,we're turning lemons into lemonade,False
743,but the sun will shine tomorrow,False
744,"just trying to figure it out, fighting doubt",False
